105.96 4.49
156.25 4.48
211.91 4.49
265.63 4.49
318.85 4.49
371.09 4.48
423.83 4.5
478.03 4.5
530.76 4.49
583.5 4.5
638.18 4.49
691.41 4.48
746.09 4.48
796.39 4.48
851.07 4.48
906.25 4.48
942.87 4.47
992.19 4.46
1047.85 4.46
1101.07 4.48
1158.2 4.45
1207.52 4.44
1264.16 4.44
1322.75 4.45
1385.25 4.43
1443.85 4.42
1522.95 4.42
2351.56 4.35
2875.49 4.21
3293.95 4.06
3606.45 3.9
3773.93 3.81
3856.45 3.72
3965.82 3.58
4154.3 3.49
4169.43 3.4
4241.7 3.29
4302.73 3.2
4382.81 3.14
4411.62 3.05
4471.19 2.93
4554.2 2.89
4552.73 2.81
4586.91 2.76
4623.05 2.64
4683.11 2.61
4686.52 2.56
4717.77 2.49
4771.97 2.46
4764.65 2.41
4787.11 2.35
4811.04 2.29
4869.63 2.26
4861.33 2.22
4882.81 2.16
4913.57 2.12
4913.57 2.08
4930.18 2.03
4948.73 1.96
5000.49 1.95
4985.35 1.92
4996.09 1.88
5018.07 1.83
5029.79 1.81
5029.3 1.79
5047.85 1.73
5089.36 1.73
5065.43 1.69
5081.05 1.66
5087.4 1.62
5114.26 1.6
5107.91 1.59
5126.46 1.53
5158.69 1.53
5137.7 1.5
5146.48 1.47
5152.34 1.43
5185.55 1.44
5174.32 1.4
5180.66 1.38
5208.5 1.37
5189.94 1.35
5199.71 1.33
5205.08 1.29
5247.56 1.29
5225.1 1.26
5228.03 1.25
5247.56 1.24
5240.72 1.21
5245.61 1.19
5255.86 1.16
5284.18 1.16
5263.18 1.14
5266.6 1.11
5277.34 1.1
5284.18 1.09
5276.37 1.08
5289.55 1.05
5315.43 1.06
5296.39 1.03
5298.34 1.01
5334.47 1.01
5311.52 0.99
5318.36 0.97
5334.96 0.97
5324.71 0.96
5332.03 0.94
5326.17 0.92
5334.47 0.91
5364.75 0.91
5341.31 0.89
5347.66 0.87
5367.19 0.87
5355.47 0.87
5361.82 0.85
5354.98 0.82
5359.86 0.82
5386.23 0.82
5365.23 0.81
5370.12 0.78
5395.02 0.78
5378.42 0.77
5383.79 0.77
5384.77 0.76
5381.35 0.74
5404.79 0.73
5390.62 0.73
5389.65 0.7
5420.41 0.72
5395.02 0.7
5400.88 0.69
5407.71 0.68
5407.23 0.68
5418.95 0.68
5408.2 0.67
5408.2 0.65
5440.43 0.64
5416.02 0.63
5418.46 0.62
5433.11 0.63
5426.76 0.62
5437.5 0.61
5425.78 0.59
5426.27 0.58
5452.64 0.58
5430.18 0.58
5434.57 0.56
5450.68 0.58
5437.01 0.56
5452.15 0.56
5441.89 0.54
5439.45 0.53
5465.82 0.53
5444.82 0.53
5445.8 0.5
5470.7 0.51
5453.12 0.5
5458.5 0.49
5455.08 0.49
5453.61 0.48
5475.1 0.48
5459.47 0.48
5458.98 0.47
5483.89 0.48
5463.87 0.46
5466.8 0.45
5469.24 0.45
5466.8 0.44
5485.35 0.44
5467.77 0.44
5468.75 0.43
5496.58 0.43
5474.12 0.42
5477.54 0.4
5483.4 0.4
5479.49 0.4
5493.65 0.39
5477.05 0.39
5478.52 0.38
5503.42 0.39
5480.47 0.38
5482.42 0.37
5495.61 0.38
5486.33 0.37
5500.98 0.37
5490.72 0.36
5486.33 0.34
5510.25 0.34
5489.75 0.34
5491.7 0.34
5507.81 0.34
5496.58 0.34
5504.88 0.33
5499.51 0.33
5501.46 0.32
5518.55 0.31
5500.49 0.31
5498.05 0.3
5520.51 0.29
5502.44 0.3
5508.3 0.29
5504.88 0.29
5509.77 0.29
5532.23 0.29
5505.37 0.28
5505.86 0.28
5529.79 0.28
5511.72 0.28
5512.21 0.26
5514.16 0.27
5515.14 0.27
5537.6 0.26
5517.58 0.24
5515.14 0.24
5535.16 0.24
5516.6 0.24
5517.09 0.23
5525.39 0.24
5519.53 0.24
5538.57 0.23
5523.44 0.23
5525.39 0.22
5544.43 0.22
5523.44 0.21
5522.46 0.2
5533.2 0.21
5526.37 0.2
5539.55 0.2
5528.81 0.19
5532.23 0.19
5554.69 0.19
5526.37 0.19
5530.27 0.19
5543.95 0.19
5531.74 0.18
5542.97 0.17
5535.16 0.18
5537.11 0.15
5559.08 0.15
5536.13 0.16
5532.71 0.15
5551.76 0.15
5534.67 0.15
5541.02 0.15
5540.53 0.14
5541.99 0.14
5565.43 0.11
5540.04 0.12
5536.62 0.1
5558.59 0.1
5539.55 0.09
5540.04 0.06
5544.92 0.05
5543.46 0
5559.57 0
5544.92 0

